Orcid,Année,Titre,Type,Source,Auteurs,contact
0000-0002-6322-6352,2019,Phenolics of the understory shrub Cotinus coggygria influence Mediterranean oak forests diversity and dynamics,journal-article,,"['J. Gavinet', 'M. Santonja', 'V. Baldy', 'H. Hashoum', 'S. Peano', 'T. Tchong', 'R. Gros', 'S. Greff', 'C. Fernandez', 'A. Bousquet-Mélou']",Mathieu Santonja
0000-0002-6322-6352,2019,Phenolics of the understory shrub Cotinus coggygria influence Mediterranean oak forests diversity and dynamics,journal-article,http://www.scopus.com/inward/record.url?eid=2-s2.0-85063460838&partnerID=MN8TOARS,"['Gavinet, J.', 'Santonja, M.', 'Baldy, V.', 'Hashoum, H.', 'Peano, S.', 'Tchong, T.', 'Gros, R.', 'Greff, S.', 'Fernandez, C.', 'Bousquet-Mélou, A.']",Mathieu Santonja
0000-0002-6322-6352,2019,Opposing Effects of Plant-Community Assembly Maintain Constant Litter Decomposition over Grasslands Aged from 1 to 25 Years,journal-article,,"['L. Barbe', 'A. Prinzing', 'C. Mony', 'B. W. Abbott', 'M. Santonja', 'K. Hoeffner', 'S. Guillocheau', 'D. Cluzeau', 'A.-J. Francez', 'N. Le Bris', 'V. Jung']",Mathieu Santonja
0000-0002-6322-6352,2020,Opposing Effects of Plant-Community Assembly Maintain Constant Litter Decomposition over Grasslands Aged from 1 to 25 Years,journal-article,http://www.scopus.com/inward/record.url?eid=2-s2.0-85065398109&partnerID=MN8TOARS,"['Barbe, L.', 'Prinzing, A.', 'Mony, C.', 'Abbott, B.W.', 'Santonja, M.', 'Hoeffner, K.', 'Guillocheau, S.', 'Cluzeau, D.', 'Francez, A.-J.', 'Le Bris, N.', 'Jung, V.']",Mathieu Santonja
0000-0002-6322-6352,2019,Epi-anecic rather than strict-anecic earthworms enhance soil enzymatic activities,journal-article,,"['Kevin Hoeffner', 'Mathieu Santonja', 'Daniel Cluzeau', 'Cécile Monard']",Mathieu Santonja
0000-0002-6322-6352,2019,Epi-anecic rather than strict-anecic earthworms enhance soil enzymatic activities,journal-article,http://www.scopus.com/inward/record.url?eid=2-s2.0-85062150303&partnerID=MN8TOARS,"['Hoeffner, K.', 'Santonja, M.', 'Cluzeau, D.', 'Monard, C.']",Mathieu Santonja
0000-0002-6322-6352,2019,Tree litter identity and predator density control prey and predator demographic parameters in a Mediterranean litter-based multi-trophic system,journal-article,,"['Adriane Aupic-Samain', 'Virginie Baldy', 'Caroline Lecareux', 'Catherine Fernandez', 'Mathieu Santonja']",Mathieu Santonja
0000-0002-6322-6352,2019,Tree litter identity and predator density control prey and predator demographic parameters in a Mediterranean litter-based multi-trophic system,journal-article,http://www.scopus.com/inward/record.url?eid=2-s2.0-85060170772&partnerID=MN8TOARS,"['Aupic-Samain, A.', 'Baldy, V.', 'Lecareux, C.', 'Fernandez, C.', 'Santonja, M.']",Mathieu Santonja
0000-0002-6322-6352,2019,Response of temperate anecic earthworm individual biomass to species interactions,journal-article,,"['Kevin Hoeffner', 'Cécile Monard', 'Daniel Cluzeau', 'Mathieu Santonja']",Mathieu Santonja
0000-0002-6322-6352,2019,Response of temperate anecic earthworm individual biomass to species interactions,journal-article,http://www.scopus.com/inward/record.url?eid=2-s2.0-85068539837&partnerID=MN8TOARS,"['Hoeffner, K.', 'Monard, C.', 'Cluzeau, D.', 'Santonja, M.']",Mathieu Santonja
0000-0002-6322-6352,2019,Seasonal variability of groundwater level effects on the growth of            Carex cinerascens            in lake wetlands,journal-article,,"['Wenjuan Feng', 'Pierre Mariotte', 'Ligang Xu', 'Alexandre Buttler', 'Luca Bragazza', 'Jiahu Jiang', 'Mathieu Santonja']",Mathieu Santonja
