Contact,Fonction,Sigle structure
Douadia Bougherara,CR,CEE-M
Raphaële Preget,CR,CEE-M
Adrien Baysse-Lainé,CR,CRJ
Alexandra Langlais,CR,CRJ
Kamel Elouhichi,INGE,PSAE
Alice Luneau,DOC,CRJ
Bertrand Guenet,DIR,LG-ENS
Sophie Thoyer,DIR,CEE-M
Stephane De Cara,DIR,PSAE
Laure Bamière ,iNGE,PSAE
Claudia Teran Escobar,MAITRE_DE_CONF,UPN
Humberto Brea-Solis,MAITRE_DE_CONF,LEM
Laurence Delattre,MAITRE_DE_CONF,LEM
Maylis Desrousseaux,MAITRE_DE_CONF,CRJ
Oriane Sulpice,MAITRE_DE_CONF,CRJ
Patricia Benezech-Sarron,MAITRE_DE_CONF,CRJ
Sabine Lavorel,MAITRE_DE_CONF,CRJ
Eva Boissson-Dumont,POSTDOC,UPN
Mostafa Moradzadeh,POSTDOC,LG-ENS
Jean-Philippe Boussemart,PROFESSEUR,CEE-M
Raluca Parvulescu,PROFESSEUR,LEM
Toho Hien,POSTDOC,LEM
Philippe Peylin ,DIR,LSCE - CNRS
Fabrice Etilé,DIR,PjSE
Carole Dalin,CR,LG-ENS
Anne-Célia Disdier,DIR,PjSE
Carl Gaigné,DIR,SMART-LERECO
Christophe Gouel,DIR,PSAE
Marie Plessz,DIR,CMH
Céline Bonnet,DIR,TSE - R
Laurent Muller,DIR,GAEL
Benjamin Ouvrard,CR,GAEL
Marc Fleurbaey,DIR,PjSE
Stéphane Zuber,DIR,PjSE
Julia Le Noë,CR,iEES
Jean-Paul Eisenmann,DOC,PjSE
Craig Pesme,DOC,PjSE
Rafael Schutz,DOC,PjSE
Maëva Guyomard,INGE,PjSE
Clara Roch,DOC,PSAE
Alexandra Hondermarck,POSTDOC,CMH
Samuel Abiven,PROFESSEUR,LG-ENS
Adeline Armelin,ASSIST. INGE,BIAM
Alexandre Grondin,CR,DIADE
Isabelle Basile-Doelsch,DIR,CEREGE
Pierre Boutet,INGE,CEREGE
Brian Phouybanhdyt,INGE,LSCE
Caroline Gauthier,INGE,LSCE
Cathy Clermont-Dauphin,CR,DIADE
Christine Hatte,DIR,LSCE
Blanche Collin,PROFESSEUR,CEREGE
Daniel Moukouanga,TECH,DIADE
David Pot,CR,AGAP
Delphine Derrien,CR,BEF
