Contact,ORCID,Nombre_publis
Delphine Tisserand,0000-0002-4749-8294,0.0
Claire Verin,,
Marine Afonso,,
Valentin Essert,0000-0002-3197-7397,6.0
Justine Frison,,
Hélène Masclaux,0000-0002-5869-8419,18.0
Vona Méléder,0000-0002-1874-1929,30.0
Laurent Millet,0000-0003-2050-206X,65.0
Roxane Ory,,
Hajar Saadelimanni,,
Thierry Dutoit,0000-0001-9461-9215,128.0
Olivier Darsonville,0009-0003-5568-6660,28.0
Sylvie Assagba,,
Oleg Pokrovsky,0000-0002-6440-865X,0.0
Julien Demenois,0000-0002-2271-8465,14.0
Jérôme Dutroncy,0009-0007-1574-700X,0.0
Perrine Franquet,,
Claire Heitz,,
